ティッカー,詳細,現在値,変動率,変動,評価,出来高,時価総額,PER: 株価収益率 (直近12ヶ月),基本1株当たり利益 (直近12ヶ月),従業員数,セクター,EMA: 指数移動平均線 (20),EMA: 指数移動平均線 (200)
AAPL,Apple Inc.,154.3,0.42303938,0.65,買い,57865721,2550604524342.22,29.86819686,5.1589,147000,電子テクノロジー,149.79890135,131.29739151
MSFT,Microsoft Corporation,301.14,-0.0033206,-0.01,買い,14751609,2263034209176.5166,37.47067076,8.1198,181000,テクノロジーサービス,297.34506076,254.399018
GOOG,Alphabet Inc.,2895.5,0.38552479,11.12,買い,955487,1926277901804.797,31.62239253,93.4177,135301,テクノロジーサービス,2827.81905097,2310.34241919
GOOGL,Alphabet Inc.,2874.79,0.31579976,9.05,買い,992708,1920751298753.7527,31.4865508,93.4177,135301,テクノロジーサービス,2805.72889505,2277.44849246
AMZN,"Amazon.com, Inc.",3478.05,0.43111414,14.93,買い,2577631,1761425454899.8218,60.63236119,58.5105,1298000,小売業,3381.9793742,3265.8064057
FB,"Facebook, Inc.",376.26,0.26113835,0.98,買い,7511356,1060844151364.1462,28.2916173,13.6929,58604,テクノロジーサービス,368.3948438,315.52929611
TSLA,"Tesla, Inc.",733.57,0.16111635,1.18,買い,15270088,726245475184.335,382.51784691,2.2333,70757,耐久消費財,710.19129808,627.05246202
BRK.B,Berkshire Hathaway Inc. New,281.89,-1.10857744,-3.16,売り,4497446,638532679879.8577,6.2800369,45.4233,360000,金融,285.01902753,263.04723251
BRK.A,Berkshire Hathaway Inc.,424201,-1.03560097,-4439,売り,1375,637452120063.2998,6.31100022,68135,360000,金融,428743.68481489,395798.27388782
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,123.97,2.63266827,3.18,強い買い,10369587,573496912552.649,32.07903917,3.7551,56831,電子テクノロジー,117.33196466,111.03406993
NVDA,NVIDIA Corporation,228.43,1.99589212,4.47,買い,28080454,569247569289.4799,80.109235,2.8509,18975,電子テクノロジー,214.61937194,164.47459807
V,Visa Inc.,225.11,0.41484521,0.93,売り,11534322,478767761450.658,47.83105735,4.9551,20500,金融,232.17379665,223.71648134
JPM,JP Morgan Chase & Co.,159.49,-0.60451203,-0.97,買い,7961220,476580888202.8569,10.65204778,15.0202,255351,金融,158.5419964,145.97618452
BABA,Alibaba Group Holding Limited,170.3,-0.98837209,-1.7,売り,16440148,460800684339.1859,21.4140066,8.2286,251462,小売業,174.70468134,218.55308731
JNJ,Johnson & Johnson,175.04,0.0628823,0.11,買い,4097510,460789652224.8712,26.12199486,6.7499,134500,健康テクノロジー,174.53288101,164.19674314
WMT,Walmart Inc.,149.25,0.4644588,0.69,買い,5737903,418220286462.2311,41.65750529,3.5701,2300000,小売業,147.85978651,140.68069672
UNH,UnitedHealth Group Incorporated,422.86,-0.20060891,-0.85,買い,1604878,398722040003.7604,27.56259122,15.3413,330000,健康サービス,418.82401221,381.80112846
PG,Procter & Gamble Company (The),144.05,0.06946857,0.1,買い,5466412,349798863909.5214,26.18081214,5.6923,101000,非耐久消費財,143.00702232,136.08398382
HD,"Home Depot, Inc. (The)",330.34,0.79331177,2.6,強い買い,2775239,348627230093.1806,22.76573744,14.2724,504800,小売業,326.61942519,303.78615978
ASML,ASML Holding N.V. - New York Registry Shares,858.105,-0.36863738,-3.175,買い,698291,347403933059.7288,61.46059872,13.7249,28073,製造加工,811.7389934,633.23868632
BAC,Bank of America Corporation,41.05,0.07313506,0.03,買い,41818455,345431809869.716,13.75429926,3.0141,213000,金融,41.04621763,37.13219607
