id,code,client_name,explain,market,created_at,updated_at
1,A,Agilent Technologies,環境、食品の品質・安全性等の化学分析を行うツールを開発、提供,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
2,AA,Alcoa,アルミ原料を掘削する鉱山事業及び精練事業に従事,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
3,AADI,Aadi Biosciences Inc,眼疾患の治療薬を開発をしている米国のバイオ医薬品企業,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
4,AAL,American Airlines Group,米国の航空会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
5,AAN,Aaron's Company,オフィスと住宅用家具のリース・販売会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
6,AAOI,Applied Optoelectronics,通信機器や光ファイバーなどの光通信製品を設計、製造する半導体会社。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
7,AAON,AAON,業務用屋上型エアコン、暖房・熱回収設備、エアコン用コイルの設計、製造、販売を手掛ける空調設備機器メーカー。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
8,AAP,Advance Auto Parts,自動車用品の小売りチェーン,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
9,AAPL,Apple,パソコン、コミュニケーション機器等の製造販売,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
10,AATC,Autoscope Technologies Corp,交通管理のためのビデオおよびレーダーイメージ処理製品の開発、販売をしている企業,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
11,AAU,Almaden Minerals Ltd B,金・銀・銅の採掘および金の製造を手掛ける鉱山会社,NYSE American,2021/09/10 00:00:00,2021/09/10 00:00:00
12,AAWW,Atlas Air Worldwide Holdings,世界の主要航空会社に航空機、乗組員、商用・軍用機、整備、保険付き貨物航空機を提供持株会社。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
13,ABBV,AbbVie,免疫や肝炎向けなどの薬品を開発・販売する製薬会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
14,ABC,Amerisource Bergen,医薬品サービス会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
15,ABCB,Ameris Bancorp,銀行子会社Ameris Bank（同行）を通じてバンキングサービスを小売と商業顧客へ提供している。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
16,ABCL,AbCellera Biologics Inc,抗体ベースでの医薬品開発に従事する、カナダのバイオテクノロジー企業,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
17,ABEO,Abeona Therapeutics,臨床試験段階の医薬品を開発するバイオ医薬品メーカー。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
18,ABG,Asbury Automotive Group,自動車販売会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
19,ABIO,ARCA biopharma Inc,心血管疾患の遺伝子標的療法の開発を行っている米国のバイオ医薬品企業,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
20,ABM,ABM Industries,北米各地の都市で商工業・諸機関の顧客から空調、エンジニアリング施設サービス請負会社。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
21,ABMD,ABIOMED,循環器医療機器メーカー。心臓鼓動機能の補助・代替テクノロジーを開発する。世界のヘルスケア専門家向けに製品とサービスを提供する。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
22,ABNB,Airbnb Inc,民泊仲介大手サイト運営会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
23,ABOS,Acumen Pharmaceuticals Inc,臨床段階にあるバイオ医薬品会社として運営。アルツハイマー病の原因となる病気を治療するための新しいアプローチを開発。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
24,ABT,Abbott Laboratories,ヘルスケア製品のメーカー,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
